"ID","His_Score","Ile_Score","Leu_Score","Lys_Score","SAA_Score","AAA_Score","Thr_Score","Trp_Score","Val_Score","His_Lim","Ile_Lim","Leu_Lim","Lys_Lim","SAA_Lim","AAA_Lim","Thr_Lim","Trp_Lim","Val_Lim","Limiting_AA","Limiting_AA_Score","PDCAAS"
"Quil.106.FS49",1.4,1.3,0.978787878787879,0.998245614035088,1.39642857142857,1.30769230769231,1.15161290322581,0.8,1.12558139534884,".",".","LIMITING","LIMITING",".",".",".","LIMITING",".","Trp_Score",9,0.664
"Quil.102.FS9",1.32,1.26875,0.972727272727273,1.07543859649123,1.45,1.30576923076923,1.21612903225806,1.32941176470588,1.14186046511628,".",".","LIMITING",".",".",".",".",".",".","Leu_Score",4,0.807363636363636
"Quil.104.FS77",1.35,1.278125,0.971212121212121,1.09298245614035,1.52857142857143,1.30384615384615,1.22903225806452,1.52941176470588,1.12325581395349,".",".","LIMITING",".",".",".",".",".",".","Leu_Score",4,0.806106060606061
"Quil.108.FS90",1.39,1.2875,0.96969696969697,1.06315789473684,1.50357142857143,1.32692307692308,1.16774193548387,0.988235294117647,1.13488372093023,".",".","LIMITING",".",".",".",".","LIMITING",".","Leu_Score",4,0.804848484848485
"Quil.102.FS12",1.285,1.24375,0.965151515151515,1.0719298245614,1.42142857142857,1.30961538461538,1.2,1.14117647058824,1.11162790697674,".",".","LIMITING",".",".",".",".",".",".","Leu_Score",4,0.801075757575758
"Quil.105.FS92",1.355,1.26875,0.962121212121212,1.00877192982456,1.53928571428571,1.28461538461538,1.14516129032258,1.2,1.12093023255814,".",".","LIMITING",".",".",".",".",".",".","Leu_Score",4,0.798560606060606
"Quil.108.FS51",1.29,1.2375,0.948484848484848,1.05087719298246,1.51428571428571,1.25769230769231,1.18709677419355,1.41176470588235,1.11395348837209,".",".","LIMITING",".",".",".",".",".",".","Leu_Score",4,0.787242424242424
"Quil.104.FS20",1.325,1.228125,0.945454545454546,1.03508771929825,1.52857142857143,1.3,1.15806451612903,1.21176470588235,1.11395348837209,".",".","LIMITING",".",".",".",".",".",".","Leu_Score",4,0.784727272727273
"Quil.104.FS30",1.275,1.209375,0.945454545454546,1.03333333333333,1.475,1.25,1.16129032258065,1.14117647058824,1.1046511627907,".",".","LIMITING",".",".",".",".",".",".","Leu_Score",4,0.784727272727273
"Quil.107.FS65",1.315,1.234375,0.943939393939394,1,1.41071428571429,1.26538461538462,1.16129032258065,1.12941176470588,1.10232558139535,".",".","LIMITING","LIMITING",".",".",".",".",".","Leu_Score",4,0.783469696969697
"Quil.108.FS66",1.315,1.234375,0.943939393939394,1.04736842105263,1.475,1.26538461538462,1.16129032258065,1.34117647058824,1.10232558139535,".",".","LIMITING",".",".",".",".",".",".","Leu_Score",4,0.783469696969697
"Quil.107.FS3",1.345,1.225,0.939393939393939,0.987719298245614,1.37142857142857,1.27115384615385,1.13225806451613,0.964705882352941,1.08139534883721,".",".","LIMITING","LIMITING",".",".",".","LIMITING",".","Leu_Score",4,0.77969696969697
"Quil.102.FS5",1.305,1.225,0.939393939393939,1.04561403508772,1.45714285714286,1.27115384615385,1.18387096774194,0.964705882352941,1.1,".",".","LIMITING",".",".",".",".","LIMITING",".","Leu_Score",4,0.77969696969697
"Quil.107.FS50",1.335,1.2375,0.937878787878788,0.950877192982456,1.35,1.25576923076923,1.10967741935484,1.21176470588235,1.07906976744186,".",".","LIMITING","LIMITING",".",".",".",".",".","Leu_Score",4,0.778439393939394
