ID,newLocation,His_Score,Ile_Score,Leu_Score,Lys_Score,SAA_Score,AAA_Score,Thr_Score,Trp_Score,Val_Score,His_Lim,Ile_Lim,Leu_Lim,Lys_Lim,SAA_Lim,AAA_Lim,Thr_Lim,Trp_Lim,Val_Lim,Limiting_AA,Limiting_AA_Score,PDCAAS,newLocation,POP,entry,
Sq.106.FS37,Sequim,1.345,1.275,0.933333333,0.943859649,1.396428571,1.201923077,1.119354839,1.223529412,1.109302326,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.774666667,Sequim,106,FS37,
Sq.108.FS42,Sequim,1.39,1.31875,0.971212121,0.99122807,1.475,1.265384615,1.170967742,1.294117647,1.137209302,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.806106061,Sequim,108,FS42,
Sq.104.FS45,Sequim,1.255,1.203125,0.901515152,0.984210526,1.435714286,1.207692308,1.106451613,1.376470588,1.072093023,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.748257576,Sequim,104,FS45,
Sq.106.FS49,Sequim,1.42,1.30625,0.95,0.929824561,1.385714286,1.221153846,1.083870968,1.235294118,1.095348837,.,.,LIMITING,LIMITING,.,.,.,.,.,Lys_Score,5,0.771754386,Sequim,106,FS49,
Sq.102.FS52,Sequim,1.215,1.15,0.862121212,0.910526316,1.285714286,1.175,1.025806452,1.376470588,1.011627907,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.715560606,Sequim,102,FS52,
Sq.108.FS54,Sequim,1.325,1.215625,0.928787879,1.003508772,1.421428571,1.259615385,1.122580645,1.070588235,1.097674419,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.770893939,Sequim,108,FS54,
Sq.0.Kaslaea,Sequim,1.415,1.3,0.983333333,1.052631579,1.546428571,1.344230769,1.180645161,1.376470588,1.181395349,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.816166667,Sequim,Controls,Kaslaea,
Sq.104.FS59,Sequim,1.275,1.18125,0.884848485,0.966666667,1.382142857,1.201923077,1.087096774,1.447058824,1.051162791,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.734424242,Sequim,104,FS59,
Sq.107.FS65,Sequim,1.29,1.209375,0.904545455,0.919298246,1.410714286,1.194230769,1.093548387,1.235294118,1.051162791,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.750772727,Sequim,107,FS65,
Sq.102.FS8,Sequim,1.425,1.3375,1.013636364,1.110526316,1.528571429,1.390384615,1.267741935,1.364705882,1.202325581,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.841318182,Sequim,102,FS8,
Sq.108.FS69,Sequim,1.385,1.259375,0.953030303,1.029824561,1.467857143,1.307692308,1.164516129,1.376470588,1.13255814,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.791015152,Sequim,108,FS69,
Sq.104.FS71,Sequim,1.41,1.29375,0.962121212,1.052631579,1.478571429,1.288461538,1.167741935,1.447058824,1.127906977,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.798560606,Sequim,104,FS71,
Sq.102.FS76,Sequim,1.31,1.240625,0.933333333,0.99122807,1.417857143,1.25,1.141935484,1.388235294,1.1,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.774666667,Sequim,102,FS76,
Sq.107.FS78,Sequim,1.265,1.2375,0.918181818,0.929824561,1.382142857,1.246153846,1.112903226,1.188235294,1.095348837,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.762090909,Sequim,107,FS78,
Sq.104.FS80,Sequim,1.415,1.284375,0.986363636,1.050877193,1.528571429,1.332692308,1.187096774,1.305882353,1.174418605,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.818681818,Sequim,104,FS80,
Sq.108.FS81,Sequim,1.32,1.25,0.95,1.036842105,1.460714286,1.294230769,1.174193548,1.388235294,1.141860465,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.7885,Sequim,108,FS81,
MV.110.17GR.i,Mount Vernon,1.275,1.21875,0.904545455,0.949122807,1.392857143,1.255769231,1.103225806,1.223529412,1.093023256,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.750772727,Mount Vernon,Mount Vernon,17GR,i
MV.110.3UISE.i,Mount Vernon,1.22,1.225,0.922727273,0.885964912,1.307142857,1.238461538,1.122580645,1.223529412,1.13255814,.,.,LIMITING,LIMITING,.,.,.,.,.,Lys_Score,5,0.735350877,Mount Vernon,Mount Vernon,3UISE,i
MV.110.Japanese Strain.i,Mount Vernon,1.33,1.234375,0.924242424,0.935087719,1.35,1.305769231,1.135483871,1.211764706,1.1,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.767121212,Mount Vernon,Mount Vernon,Japanese Strain,i
MV.110.QQ74.i,Mount Vernon,1.26,1.24375,0.940909091,1.022807018,1.421428571,1.269230769,1.158064516,1.141176471,1.127906977,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.780954545,Mount Vernon,Mount Vernon,QQ74,i
MV.110.17GR,Mount Vernon,1.225,1.121875,0.853030303,0.887719298,1.342857143,1.192307692,1.05483871,1.152941176,1.025581395,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.708015152,Mount Vernon,Mount Vernon,17GR,
MV.110.3UISE,Mount Vernon,1.265,1.253125,0.924242424,0.887719298,1.246428571,1.257692308,1.067741935,1.023529412,1.11627907,.,.,LIMITING,LIMITING,.,.,.,.,.,Lys_Score,5,0.736807018,Mount Vernon,Mount Vernon,3UISE,
MV.110.Baer.ni,Mount Vernon,1.295,1.25625,0.943939394,0.99122807,1.503571429,1.307692308,1.174193548,1.235294118,1.137209302,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.783469697,Mount Vernon,Mount Vernon,Baer,ni
MV.110.Japanese Strain.ni,Mount Vernon,1.35,1.265625,0.940909091,0.931578947,1.478571429,1.332692308,1.161290323,1.058823529,1.130232558,.,.,LIMITING,LIMITING,.,.,.,.,.,Lys_Score,5,0.773210526,Mount Vernon,Mount Vernon,Japanese Strain,ni
MV.110.QQ74.ni,Mount Vernon,1.145,1.153125,0.875757576,0.926315789,1.385714286,1.169230769,1.093548387,1.294117647,1.041860465,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.726878788,Mount Vernon,Mount Vernon,QQ74,ni
